branch,phi1_a,phi2_a,phi1_b,phi2_b,length
0,0.28670045132098937,0.12375625923120262,0.41003439874088154,0.22097859083066806,0.15704599437046826
0,0.28948707698700465,0.12432413134167762,0.4096957027892298,0.2188586484345566,0.15292772357961526
0,0.2923384584191639,0.12493671481584322,0.409296260595846,0.21669800419916643,0.1486582043457067
0,0.29525987744454263,0.12559785259805795,0.4088307623793702,0.21449278722585463,0.14422432287017364
0,0.2982575057768789,0.12631204802892262,0.4082930084824376,0.21223846623039358,0.13961074887199446
0,0.3013386300691773,0.1270846326797097,0.40767568432419343,0.20992968171366083,0.13479937409747866
0,0.30451195611003257,0.12792199341615162,0.4069700562087987,0.20756001890267942,0.12976855312147714
0,0.3077880291566538,0.1288318864386936,0.40616555099721874,0.20512169371517866,0.1244920539543551
0,0.3111798297744586,0.12982388285687801,0.4052491602719696,0.2026051071895499,0.11893756999204524
0,0.3147036441841764,0.13091002014360867,0.4042045699937673,0.19999819403433475,0.11306454569107462
0,0.3183803818411466,0.13210578925676839,0.4030108429241913,0.1972854355085692,0.10682088386003291
0,0.32223765845504215,0.13343169668644758,0.40164033568312624,0.19444629745172048,0.10013773842829157
0,0.33860063503672916,0.1399582656815707,0.3943506585175755,0.18244876513896244,0.07009641690024909
0,0.34912561538297643,0.14506148698537857,0.38820627271517266,0.17473169050630766,0.049067491830028315
0,0.3560442184411275,0.14889154620664904,0.38341944017660723,0.16963595327530767,0.03434724428097393
0,0.36066787956519275,0.15169909103747622,0.3798369171151824,0.1662117497280703,0.024043070994833195
0,0.3637968183439606,0.1537267659061577,0.37721732499623944,0.16388274641618136,0.016830149699983102
0,0.36593421460677666,0.1551769302809903,0.37532931566817435,0.16228513021544538,0.011781104798025651
0,0.3674044280685838,0.1562072272278283,0.37398125458378395,0.16118262910720998,0.008246773361284676
0,0.3684208298684172,0.1569359111112855,0.37302469611716477,0.16041857651168098,0.005772741352898906
0,0.36912605472097576,0.15744966657706902,0.3723487911647567,0.1598874926045366,0.004040918945768691
0,0.3696166427672606,0.15781110251173053,0.3718725685854053,0.15951756709322998,0.0028286432551461803
0,0.36995854876111023,0.15806499339401384,0.3715377004286692,0.159259513966719,0.0019800503498068173
0,0.3701971447556836,0.15824315238431438,0.3713025521502881,0.1590793151910866,0.0013860352619884976
0,0.3703637963182031,0.15836807436067576,0.3711375819122455,0.15895338777302934,0.0009702246833741805
0,0.370480307883637,0.15845564923536284,0.3710219579341119,0.15886536844600904,0.0006791572783619508
0,0.3705617238185778,0.1585169611958502,0.3709408789094257,0.15880376456990927,0.00047541009485233264
0,0.37061873740214446,0.15855995389839286,0.3708841459770763,0.15876071624524482,0.00033278706639660634
0,0.37065877271997727,0.15859017206502615,0.37084455871178185,0.15873070572180276,0.00023295094641965824
0,0.37060287812175835,0.158548010848508,0.37073293377561906,0.15864637719225588,0.00016306566371698775
0,0.37060558812955025,0.15855010839520522,0.37069662785189156,0.15861896382578014,0.00011414596516583652
0,0.3706178172413085,0.1585593278722197,0.37069757426432426,0.1586196504826182,0.00010000000022812602
0,0.3706178172413085,0.1585593278722197,0.37069757426432426,0.1586196504826182,0.00010000000022812602
1,0.1474753327427842,0.1474753327427842,0.35252466725721404,0.35252466725721404,0.28998354982588426
1,0.14663001168882484,0.1483336742059817,0.3513728274226846,0.35366916490552774,0.2899694541420744
1,0.14579765865751507,0.14920509016852576,0.3502136977737706,0.3548062662627599,0.28992716440394267
1,0.1449782224056418,0.150089635861971,0.3490473285441657,0.3559359150878365,0.2898566727734746
1,0.14417165316802533,0.15098736799426773,0.34787376806048054,0.3570580532342381,0.28975796611470406
1,0.14337790260355665,0.15189834469498534,0.34669306268916555,0.35817262059773686,0.2896310259965966
1,0.14259692379815264,0.15282262551788314,0.345505256818892,0.3592795550991615,0.2894758286651654
1,0.14182867127151752,0.15376027144744606,0.34431039284011034,0.3603787926641818,0.2892923450061751
1,0.14107310099471312,0.15471134491664162,0.34310851112695173,0.36147026720502323,0.28908054049547316
1,0.1403301704132405,0.15567590983068416,0.3418996500176639,0.3625539106002203,0.2888403751389308
1,0.13959983847347068,0.15665403159472305,0.34068384579203465,0.3636296526707823,0.2885718034027454
1,0.1388820656520084,0.1576457771450957,0.33946113264540706,0.36469742115231973,0.28827477413404823
1,0.1381768139881,0.15865121498434445,0.3382315426593187,0.36575714166307427,0.2879492304715718
1,0.1374840471195061,0.15967041522049982,0.3369951057689581,0.3668087376679644,0.2875951097459324
1,0.1368037303216846,0.1607034496105614,0.3357518497272321,0.36785213043835535,0.28721234336932533
1,0.13613583055064454,0.16175039160863153,0.334501800065577,0.3688872390075901,0.2868008567141642
1,0.13548031648934267,0.16281131641865598,0.33324498005126313,0.36991398012194987,0.2863605689803665
1,0.13483715859795514,0.16388630105221075,0.3319814106412723,0.37093226818701674,0.28589139305076344
1,0.13420632916792688,0.16497542439132387,0.3307111104324852,0.37194201520908826,0.28539323533426614
1,0.13358780238009846,0.16607876725674078,0.3294340956081741,0.3729431307315318,0.2848659955961888
1,0.13298155436690054,0.16719641248172237,0.32815037988054363,0.37393552176572187,0.2843095667752254
1,0.1323875632788672,0.16832844499173863,0.3268599744292419,0.37491909271637053,0.2837238347864404
1,0.13180580935565525,0.169474951890362,0.3255628878356648,0.3758937453009581,0.28310867830957587
1,0.13123627500162416,0.17063602255152308,0.3242591260127506,0.3768593784628517,0.2824639685619991
