code,wall_affinity,side,phi1_inf,phi2_inf,nearest_binodal_phi1,nearest_binodal_phi2,distance,signed_distance,tolerance,classification
m0p1,-0.1,weak,0.14754958694144138,0.14238471177944864,0.14675202998126172,0.14341661461586508,0.0013041934551803703,-0.001176517751760503,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.147798227161437,0.14288571428571428,0.14675202998126172,0.14341661461586508,0.0011731938034105673,-0.0011731886227529,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14829739641900408,0.14388771929824562,0.14730793254216115,0.14452841973766398,0.0011787857382272284,-0.0011719167155843067,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14854794705566501,0.1443887218045113,0.14730793254216115,0.14452841973766398,0.0012478587685420784,-0.0011457509551043462,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14879926209728944,0.14488972431077696,0.1478638351030606,0.14564022485946285,0.001199280924183259,-0.0011821366042168362,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14905115460307228,0.14539072681704263,0.1478638351030606,0.14564022485946285,0.0012132505381328021,-0.0011591579007364887,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14930384803790356,0.14589172932330827,0.14841973766396002,0.14675202998126172,0.0012335997630470422,-0.0011945715784393914,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14955707574719676,0.14639273182957394,0.14897564022485946,0.14730793254216115,0.0010842783825917592,-0.0009590914458412172,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1498111791927101,0.1468937343358396,0.14897564022485946,0.14730793254216115,0.0009325693115886256,-0.0009293144459361048,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15006573247001448,0.14739473684210527,0.14897564022485946,0.14730793254216115,0.0010935429069935507,-0.0009109030183466858,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15032128191494595,0.14789573934837094,0.1495315427857589,0.14841973766396002,0.0009477669159183241,-0.000945686103705463,0.0011118051217989255,boundary_tolerance
m0p1,-0.1,weak,0.15057714729993715,0.1483967418546366,0.1495315427857589,0.14841973766396002,0.0010458573551476301,-0.0009441664997634806,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15083418436792026,0.14889774436090225,0.15008744534665835,0.1495315427857589,0.0009794486251079977,-0.0009520359931561525,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15109134346405356,0.14939874686716792,0.15008744534665835,0.1495315427857589,0.0010126431682009524,-0.0009563150064454008,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1513499171049635,0.1498997493734336,0.1506433479075578,0.1506433479075578,0.0010257576763905915,-0.0009655568012177609,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15160834510328935,0.15040075187969926,0.1506433479075578,0.1506433479075578,0.0009950238291129125,-0.0009709690612270751,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15186851390510453,0.15090175438596493,0.15119925046845722,0.15175515302935666,0.0010845288341836804,-0.0010046470908654861,0.0011118051217989255,boundary_tolerance
