loop_index,branch,row,phi1,phi2,phi1_conj,phi2_conj,gamma,gamma_conj,sigma,delta,thin_ok,reason,n_states,n_uncoated,from_guess,max_dev,cs_total,gamma_coated
153,0,88,0.41003440,0.22097859,0.28670045,0.12375626,-0.00067971,nan,0.00225246,nan,1,,1,1,lin_thin,0.14614107,0.11363971,nan
154,0,87,0.41031694,0.22306117,0.28397402,0.12322979,-0.00140992,nan,0.00242856,nan,1,,1,1,lin_thin,0.14610113,0.11063441,nan
155,0,86,0.41054732,0.22510928,0.28130381,0.12274185,-0.00214104,nan,0.00260747,nan,1,,1,1,lin_thin,0.14606899,0.10786251,nan
156,0,85,0.41072906,0.22712547,0.27868634,0.12228993,-0.00287308,nan,0.00278895,nan,1,,1,1,lin_thin,0.14604368,0.10529820,nan
157,0,84,0.41086525,0.22911196,0.27611854,0.12187182,-0.00360605,nan,0.00297279,nan,1,,1,1,lin_thin,0.14602440,0.10291939,nan
158,0,83,0.41095866,0.23107075,0.27359767,0.12148557,-0.00433996,nan,0.00315880,nan,1,,1,1,lin_thin,0.14601046,0.10070710,nan
159,0,82,0.41101174,0.23300359,0.27112129,0.12112945,-0.00507483,nan,0.00334676,nan,1,,1,1,lin_thin,0.14600127,0.09864491,nan
160,0,81,0.41102672,0.23491207,0.26868724,0.12080189,-0.00581064,nan,0.00353651,nan,1,,1,1,lin_thin,0.14599633,0.09671854,nan
161,0,80,0.41100559,0.23679760,0.26629352,0.12050151,-0.00654741,nan,0.00372786,nan,1,,1,1,lin_thin,0.14599519,0.09491552,nan
162,0,79,0.41095015,0.23866146,0.26393837,0.12022706,-0.00728514,nan,0.00392064,nan,1,,1,1,lin_thin,0.14599748,0.09322490,nan
163,0,78,0.41086205,0.24050482,0.26162017,0.11997740,-0.00802382,nan,0.00411468,nan,1,,1,1,lin_thin,0.14600285,0.09163706,nan
164,0,77,0.41074280,0.24232873,0.25933744,0.11975151,-0.00876346,nan,0.00430983,nan,1,,1,1,lin_thin,0.14601102,0.09014341,nan
