om1,om2,branch,row,tie_length,sigma,S_a,S_b,S_max
0.035000,-0.046875,1,21,0.28372383,0.01344935,-0.01052577,-0.01637292,-0.01052577
0.035000,-0.046875,1,27,0.27958675,0.01286140,-0.00984980,-0.01587301,-0.00984980
0.035000,-0.046875,1,33,0.27435723,0.01214373,-0.00906263,-0.01522483,-0.00906263
0.035000,-0.046875,1,39,0.26799084,0.01130763,-0.00817787,-0.01443739,-0.00817787
0.035000,-0.046875,1,45,0.26042759,0.01036650,-0.00721145,-0.01352154,-0.00721145
0.035000,-0.046875,1,52,0.24998214,0.00915650,-0.00600527,-0.01230773,-0.00600527
0.035000,-0.046875,1,58,0.23951079,0.00804363,-0.00492807,-0.01115920,-0.00492807
0.035000,-0.046875,1,64,0.22747331,0.00688200,-0.00383639,-0.00992762,-0.00383639
0.035000,-0.046875,1,70,0.21364608,0.00569422,-0.00275833,-0.00863011,-0.00275833
0.035000,-0.046875,1,76,0.19770017,0.00450592,-0.00172731,-0.00728452,-0.00172731
0.035000,-0.046875,1,82,0.17912331,0.00334676,-0.00078535,-0.00590818,-0.00078535
0.035000,-0.046875,1,89,0.15292772,0.00207940,0.00011985,-0.00427864,0.00011985
0.035000,-0.046875,1,95,0.12449205,0.00112027,nan,nan,inf
0.035000,-0.046875,1,101,0.04906749,0.00006845,nan,nan,inf
0.035000,-0.046875,1,107,0.00577274,0.00000011,nan,nan,inf
0.035000,-0.046875,1,113,0.00067916,0.00000000,nan,nan,inf
0.035000,-0.046875,1,120,0.00010000,0.00000000,nan,nan,inf
0.014000,-0.018750,0,0,0.28998355,0.01437364,-0.01338885,-0.01535842,-0.01338885
0.014000,-0.018750,0,6,0.28947583,0.01429709,-0.01337157,-0.01522261,-0.01337157
0.014000,-0.018750,0,12,0.28794923,0.01406862,-0.01320520,-0.01493203,-0.01320520
0.014000,-0.018750,0,18,0.28539324,0.01369173,-0.01289254,-0.01449091,-0.01289254
0.014000,-0.018750,0,24,0.28178957,0.01317221,-0.01243869,-0.01390574,-0.01243869
0.014000,-0.018750,0,30,0.27711100,0.01251813,-0.01185102,-0.01318524,-0.01185102
0.014000,-0.018750,0,37,0.27024262,0.01159871,-0.01100917,-0.01218824,-0.01100917
0.014000,-0.018750,0,43,0.26308614,0.01069097,-0.01016730,-0.01121463,-0.01016730
0.014000,-0.018750,0,49,0.25468178,0.00968827,-0.00922927,-0.01014727,-0.00922927
0.014000,-0.018750,0,55,0.24493114,0.00860748,-0.00821139,-0.00900356,-0.00821139
0.014000,-0.018750,0,61,0.23369991,0.00746756,-0.00713211,-0.00780302,-0.00713211
0.014000,-0.018750,0,67,0.22080086,0.00628986,-0.00601222,-0.00656749,-0.00601222
0.014000,-0.018750,0,74,0.20327745,0.00490034,-0.00468595,-0.00511473,-0.00468595
0.014000,-0.018750,0,80,0.18565118,0.00372786,-0.00356349,-0.00389223,-0.00356349
0.014000,-0.018750,0,86,0.16487260,0.00260747,-0.00248869,-0.00272624,-0.00248869
0.014000,-0.018750,0,92,0.13961075,0.00158104,-0.00150286,-0.00165922,-0.00150286
0.014000,-0.018750,0,98,0.10682088,0.00070726,-0.00066404,-0.00075048,-0.00066404
0.014000,-0.018750,0,105,0.01178110,0.00000095,0.00000164,-0.00000354,0.00000164
0.014000,-0.018750,0,111,0.00138604,0.00000000,nan,nan,inf
0.014000,-0.018750,0,117,0.00016307,0.00000000,nan,nan,inf
0.014000,-0.018750,1,2,0.28992716,0.01436512,-0.01336134,-0.01536890,-0.01336134
0.014000,-0.018750,1,8,0.28908054,0.01423769,-0.01317960,-0.01529577,-0.01317960
0.014000,-0.018750,1,14,0.28721234,0.01395924,-0.01285145,-0.01506702,-0.01285145
0.014000,-0.018750,1,21,0.28372383,0.01344935,-0.01229047,-0.01460822,-0.01229047
0.014000,-0.018750,1,27,0.27958675,0.01286140,-0.01166558,-0.01405723,-0.01166558
0.014000,-0.018750,1,33,0.27435723,0.01214373,-0.01091818,-0.01336928,-0.01091818
0.014000,-0.018750,1,39,0.26799084,0.01130763,-0.01006050,-0.01255476,-0.01006050
0.014000,-0.018750,1,45,0.26042759,0.01036650,-0.00910691,-0.01162609,-0.00910691
0.014000,-0.018750,1,52,0.24998214,0.00915650,-0.00789538,-0.01041762,-0.00789538
0.014000,-0.018750,1,58,0.23951079,0.00804363,-0.00679382,-0.00929345,-0.00679382
0.014000,-0.018750,1,64,0.22747331,0.00688200,-0.00565678,-0.00810723,-0.00565678
0.014000,-0.018750,1,70,0.21364608,0.00569422,-0.00450889,-0.00687955,-0.00450889
0.014000,-0.018750,1,76,0.19770017,0.00450592,-0.00337854,-0.00563330,-0.00337854
0.014000,-0.018750,1,82,0.17912331,0.00334676,-0.00229943,-0.00439409,-0.00229943
0.014000,-0.018750,1,89,0.15292772,0.00207940,-0.00116263,-0.00299616,-0.00116263
0.014000,-0.018750,1,95,0.12449205,0.00112027,-0.00036382,-0.00187671,-0.00036382
0.014000,-0.018750,1,101,0.04906749,0.00006845,nan,nan,inf
0.014000,-0.018750,1,107,0.00577274,0.00000011,nan,nan,inf
0.014000,-0.018750,1,113,0.00067916,0.00000000,nan,nan,inf
0.014000,-0.018750,1,120,0.00010000,0.00000000,nan,nan,inf
